ID,Category,Prompt,Good Response,Bad Response,Good Score,Bad Score,Annotation
IF-002,Instruction Following,"Translate the following sentence into French, and then into Spanish. Do not add any explanation.

Sentence: 'The cat is on the roof.'","Le chat est sur le toit.
El gato está en el tejado.","Sure! Here is the translation:
French: Le chat est sur le toit. This is a common French phrase.
Spanish: El gato está en el techo.",10,3,"Good response: French first, Spanish second, no extra text. Follows the 'no explanation' instruction exactly. Bad response: adds 'Sure!', labels each language, adds an unrequested comment about French, and uses 'el techo' (a valid but less precise word for roof compared to 'el tejado'). Fails format instruction."
IF-003,Instruction Following,Write a haiku about rain. A haiku must follow the 5-7-5 syllable pattern.,"Soft rain taps the glass (5)
Puddles mirror silver skies (7)
Earth drinks the quiet (5)","Raindrops fall slowly down
Wetting all the leaves and ground
Water everywhere",10,2,"Good response: correct 5-7-5 pattern (verified: Soft-rain-taps-the-glass=5, Pud-dles-mir-ror-sil-ver-skies=7, Earth-drinks-the-qui-et=5), evocative imagery. Bad response: appears to follow a 6-7-5 pattern (Rain-drops-fall-slow-ly-down=6 syllables) — fails the core formal constraint of a haiku."
IF-004,Instruction Following,"Summarize the following text in exactly 2 sentences.

Text: 'The Amazon rainforest, often called the lungs of the Earth, produces around 20% of the world's oxygen. It spans over 5.5 million square kilometers across nine countries in South America. Home to 10% of all species on Earth, it faces severe threats from deforestation driven by agriculture, logging, and urban expansion.'","The Amazon rainforest spans 5.5 million square kilometers across nine South American countries, produces roughly 20% of the world's oxygen, and hosts 10% of all Earth's species. However, it faces mounting threats from deforestation driven by agriculture, logging, and urban development.",The Amazon is called the lungs of the Earth. It produces 20% of oxygen. It covers a large area across nine countries and has many species. But deforestation is a major problem.,10,2,"Good response: exactly 2 sentences, covers all key points (size, oxygen, biodiversity, threats), well-written. Bad response: 4 sentences — directly violates the 'exactly 2 sentences' constraint. Despite containing accurate facts, the format instruction is failed entirely."
IF-005,Instruction Following,Give me three tips for better sleep. Format your response as a numbered list with bold tip titles.,"1. **Maintain a consistent sleep schedule** – Go to bed and wake up at the same time every day, even on weekends, to regulate your circadian rhythm.
2. **Limit screen exposure before bed** – Blue light from phones and computers suppresses melatonin production; try to avoid screens for at least an hour before sleeping.
3. **Optimize your sleep environment** – Keep your bedroom cool (around 65–68°F / 18–20°C), dark, and quiet for optimal sleep conditions.","Here are some tips: First, you should try to sleep at a consistent time. Also, avoid your phone before bed because the light keeps you awake. Additionally, make sure your room is comfortable.",10,2,"Good response: numbered list ✓, bold tip titles ✓, substantial detail for each tip. Bad response: prose format instead of numbered list, no bold titles, uses 'First/Also/Additionally' as connectors — completely fails the format instructions while containing loosely similar content."
IF-006,Instruction Following,Write a product description for a wireless keyboard. Keep it under 50 words.,"Stay cable-free with our compact wireless keyboard. Featuring ultra-quiet keys, a 10-meter Bluetooth range, and a 6-month battery life, it pairs seamlessly with laptops, tablets, and smartphones. Slim, lightweight, and available in three colors — productivity wherever you go.","Our wireless keyboard is an excellent choice for people who want to work without cables getting in the way. It connects via Bluetooth and has a long battery life. The keys are comfortable to type on, and the keyboard is compatible with many different devices including laptops, tablets, phones, and desktop computers. It comes in multiple colors and is very lightweight.",9,3,"Good response: 46 words (under 50 ✓), highlights key features concisely, ends with a punchy tagline. Bad response: approximately 70 words — exceeds the 50-word limit. The constraint is explicit and the response fails it despite being well-written otherwise."
IF-007,Instruction Following,Act as a pessimistic financial advisor. Respond to: 'Should I invest in index funds?',"Sure, invest in index funds. Watch the market crash right after you put your money in. Markets go up — until they don't. You'll probably panic-sell at the bottom like everyone else, lock in your losses, and spend years recovering. Even if you hold on, inflation eats your returns, fees nibble the rest, and by retirement the rules will have changed. But sure — everyone else is doing it.","As a financial advisor, I recommend index funds as they offer diversification and low fees. Historically, the S&P 500 has returned about 10% annually. They are one of the most reliable long-term investment vehicles available.",9,1,"Good response: fully adopts the pessimistic persona, cynical but plausible concerns (panic-selling, inflation, fees, rule changes), entertaining and on-character. Bad response: completely ignores the 'pessimistic' persona instruction — gives a standard optimistic advisor recommendation. Fails the core role-play constraint."
IF-008,Instruction Following,"Rewrite the following sentence using passive voice:
'The chef cooked the meal.'",The meal was cooked by the chef.,The chef had cooked the meal beautifully.,10,1,"Good response: correct passive construction (subject = 'the meal', auxiliary 'was', past participle 'cooked', agent 'by the chef'). Bad response: still active voice with added 'had' (past perfect) and 'beautifully' (not in original). Adds words not present in original and fails the passive voice transformation."
IF-009,Instruction Following,"Create a one-week meal plan for a vegetarian. Present it as a table with columns: Day, Breakfast, Lunch, Dinner.","| Day | Breakfast | Lunch | Dinner |
|---|---|---|---|
| Monday | Oatmeal with berries | Lentil soup + whole grain bread | Vegetable stir-fry with tofu |
| Tuesday | Avocado toast + eggs | Chickpea salad | Paneer tikka masala + rice |
| Wednesday | Greek yogurt + granola | Caprese sandwich | Mushroom pasta |
| Thursday | Smoothie bowl | Black bean tacos | Veggie burger + sweet potato fries |
| Friday | Whole wheat pancakes | Tomato basil soup | Spinach ricotta stuffed peppers |
| Saturday | Veggie omelette | Falafel wrap | Dal tadka + naan |
| Sunday | French toast + fruit | Quinoa Buddha bowl | Eggplant parmesan |","Here is a vegetarian meal plan:
Monday: Oatmeal for breakfast, salad for lunch, pasta for dinner.
Tuesday: Toast for breakfast, soup for lunch, rice and vegetables for dinner.
Wednesday: Yogurt for breakfast, sandwich for lunch, curry for dinner.",10,2,"Good response: full table format ✓, all 7 days ✓, all 3 columns ✓, specific varied meals ✓. Bad response: prose/list format instead of a table (fails format instruction), only covers 3 of 7 days (incomplete), meals are vague ('salad', 'soup')."
IF-010,Instruction Following,Write a formal apology letter from a company to a customer who received a damaged product. Do not use first-person singular ('I').,"Dear Valued Customer,

On behalf of [Company Name], we sincerely apologize for the condition in which your recent order arrived. Receiving a damaged product is not the experience we strive to provide, and we fully understand the frustration this has caused.

Our team has been notified and is committed to making this right. A replacement will be dispatched within 2–3 business days at no additional cost, along with a 20% discount on your next purchase as a gesture of goodwill.

We value your trust and appreciate your patience.

Sincerely,
[Company Name] Customer Care","Dear Customer,
I am sorry to hear that your product arrived damaged. I want you to know that I take this very seriously and I will make sure you get a replacement as soon as possible. I apologize for the inconvenience.",10,1,"Good response: formal tone ✓, no first-person singular ✓, uses 'we' throughout ✓, includes specific remediation (replacement + discount). Bad response: uses 'I' five times in three sentences — directly violates the explicit constraint. Also informal in structure and offers no concrete resolution details."
IF-011,Instruction Following,Give me a word that rhymes with 'orange'.,"Strictly speaking, 'orange' has no perfect rhymes in standard English — it's famously one of the hardest words to rhyme. The closest near-rhyme is 'sporange' (a botanical term for a spore case). Some poets use 'door-hinge' as a forced slant rhyme.",A word that rhymes with orange is 'porridge'.,9,1,"Good response: honest about the linguistic fact (no perfect rhyme), offers the best genuine answer ('sporange'), mentions the creative workaround ('door-hinge'). Bad response: 'porridge' does not rhyme with 'orange' — different vowel and consonant sounds. A hallucinated/incorrect answer to an impossible request."
IF-012,Instruction Following,Explain the concept of machine learning to a 10-year-old. Keep it simple.,"Imagine teaching a dog new tricks. You show the dog what to do, reward it when it gets it right, and it learns over time. Machine learning works the same way — instead of a dog, it's a computer program. You give it lots of examples, tell it when it's right or wrong, and it learns to recognize patterns on its own. That's how your phone learns to recognize your face!",Machine learning is a subset of artificial intelligence that uses statistical algorithms to enable systems to learn from data. It involves training models on datasets to identify patterns and make predictions without being explicitly programmed for each task.,10,1,"Good response: perfect analogy (dog training), age-appropriate language, relatable real-world example (face recognition on phone), zero jargon. Bad response: uses 'subset', 'statistical algorithms', 'models', 'datasets' — completely inappropriate for a 10-year-old. Ignores the 'keep it simple' instruction entirely."
IF-013,Instruction Following,List the steps to make a cup of tea. Use imperative verbs to start each step.,"1. Boil water in a kettle.
2. Place a tea bag in a clean mug.
3. Pour the hot water over the tea bag.
4. Steep for 3–5 minutes, depending on desired strength.
5. Remove the tea bag and discard.
6. Add milk, sugar, or lemon to taste.
7. Stir and enjoy.","First, you should boil some water. Then you need to put a tea bag in a cup. After that, the water should be poured in and you wait for it to steep. You can then add milk or sugar.",10,3,"Good response: every step starts with an imperative verb (Boil, Place, Pour, Steep, Remove, Add, Stir) ✓, clear numbered steps, specific detail. Bad response: uses 'you should', 'you need to', 'you can' — not imperative constructions. Also has passive voice ('should be poured') and no imperative verbs as instructed."
IF-014,Instruction Following,"Respond only with a JSON object containing three keys: name, age, and occupation. Fill in fictional values.","{""name"": ""Priya Sharma"", ""age"": 34, ""occupation"": ""Marine Biologist""}","Here is a JSON object with a fictional person:
```json
{
  ""name"": ""John Doe"",
  ""age"": 28,
  ""occupation"": ""Engineer""
}
```
Let me know if you need any changes!",10,3,"Good response: raw JSON only, no preamble, no code fences, exactly three keys, valid JSON syntax. Bad response: adds intro sentence, wraps in markdown code fences, adds a closing sentence — 'respond ONLY with a JSON object' means no surrounding text. Fails the 'only' constraint."
IF-015,Instruction Following,Write a tweet (max 280 characters) announcing a new coffee shop opening. Include a hashtag.,"☕ We're OPEN! Sip & Stay Coffee Co. is now welcoming you at 12 Maple Street. Fresh beans, cozy vibes, and your new daily ritual. Come say hello! #SipAndStay","We are excited to announce the grand opening of our new coffee shop! We serve a wide variety of coffees, teas, and pastries in a warm and inviting atmosphere. Please come visit us at our location and enjoy our special opening week discounts. We can't wait to see you there! #CoffeeShop #GrandOpening #NewOpening",10,4,"Good response: 159 characters ✓, includes hashtag ✓, engaging, punchy, has emoji and address detail. Bad response: 286 characters — exceeds 280-character Twitter limit by 6 characters. Technically fails the constraint despite being well-written. Also uses 3 hashtags (not specifically prohibited, but the tweet is too long regardless)."
CO-001,Coding,Write a Python function that checks if a number is prime.,"def is_prime(n):
    """"""Return True if n is a prime number, False otherwise.""""""
    if n < 2:
        return False
    if n == 2:
        return True
    if n % 2 == 0:
        return False
    for i in range(3, int(n**0.5) + 1, 2):
        if n % i == 0:
            return False
    return True","def is_prime(n):
    for i in range(2, n):
        if n % i == 0:
            return False
    return True",9,4,"Good response: handles edge cases (n<2, n=2, even numbers), uses efficient sqrt optimization (O(√n) complexity), includes docstring, skips even numbers in loop. Bad response: works for small inputs but is O(n) — checks every number up to n, no edge case handling (returns True for n=0 and n=1, which are not prime), no docstring."
CO-002,Coding,"Debug this Python code:
```python
def divide(a, b):
    return a / b

result = divide(10, 0)
print(result)
```","The code will raise a `ZeroDivisionError` when `b=0`. Here's the fixed version:

```python
def divide(a, b):
    if b == 0:
        return None  # or raise a custom error, or return float('inf')
    return a / b

result = divide(10, 0)
if result is None:
    print(""Error: Cannot divide by zero."")
else:
    print(result)
```

Alternatively, use a try/except block:
```python
try:
    result = divide(10, 0)
except ZeroDivisionError:
    print(""Error: Division by zero."")
```",The problem is that you can't divide by zero. Change the 0 to a different number to fix it.,9,1,"Good response: correctly identifies ZeroDivisionError, provides two valid solutions (guard clause and try/except), shows complete runnable code. Bad response: identifies the problem but offers no code fix — 'change the 0 to a different number' is not debugging, it's changing the problem. Not useful to a developer."
CO-003,Coding,Write a JavaScript function that reverses a string.,"```javascript
function reverseString(str) {
  return str.split('').reverse().join('');
}

// Example:
console.log(reverseString('hello')); // Output: 'olleh'
```","```javascript
function reverseString(str) {
  let reversed = '';
  for (let i = 0; i <= str.length; i++) {
    reversed = str[i] + reversed;
  }
  return reversed;
}
```",9,3,"Good response: clean, idiomatic JS using split/reverse/join, includes example usage. Bad response: has an off-by-one error — loop condition is `i <= str.length` instead of `i < str.length`. At i=str.length, `str[i]` is `undefined`, so the result will have 'undefined' prepended to the reversed string."
CO-004,Coding,"Explain what this Python code does:
```python
result = [x**2 for x in range(10) if x % 2 == 0]
```","This is a list comprehension that builds a list of squared values for even numbers from 0 to 9.

Breaking it down:
- `range(10)` generates numbers 0 through 9
- `if x % 2 == 0` filters to keep only even numbers (0, 2, 4, 6, 8)
- `x**2` squares each filtered number

Result: `[0, 4, 16, 36, 64]`",This code creates a list using a for loop. It squares numbers and checks if they are even. The result is a list of even squares.,10,4,"Good response: names the construct (list comprehension), breaks down each component with code references, shows the actual output. Bad response: calls it a 'for loop' (imprecise — it's a list comprehension), doesn't break down the components, doesn't show the actual result values."
CO-005,Coding,Write a Python function to find the second largest number in a list.,"def second_largest(lst):
    """"""Return the second largest unique value in a list.""""""
    unique = list(set(lst))
    if len(unique) < 2:
        return None  # Not enough unique values
    unique.sort(reverse=True)
    return unique[1]

# Test:
print(second_largest([3, 1, 4, 1, 5, 9, 2, 6]))  # Output: 6","def second_largest(lst):
    lst.sort()
    return lst[-2]",9,3,"Good response: handles duplicate values using set(), handles edge case of <2 unique values, includes docstring and test. Bad response: sorts and returns lst[-2] — fails for lists with duplicates ([5, 5, 3] would return 5 instead of 3), no edge case handling for empty or single-element lists, modifies the original list (side effect)."
CO-006,Coding,What is the difference between `==` and `===` in JavaScript?,"`==` is the loose equality operator — it compares values after type coercion. For example, `5 == '5'` returns `true` because the string '5' is coerced to a number.

`===` is the strict equality operator — it compares both value AND type with no coercion. So `5 === '5'` returns `false` because one is a number and the other a string.

Best practice: use `===` in most cases to avoid unexpected coercion bugs.",`==` checks if two values are equal. `===` is more strict and checks the type too.,9,4,"Good response: defines both operators, explains type coercion, gives a concrete example with output, adds best practice advice. Bad response: technically correct but gives no example, no explanation of type coercion mechanism, no practical guidance — insufficient for someone trying to understand when to use each."
CO-007,Coding,Write a SQL query to find all employees who earn more than the average salary.,"```sql
SELECT employee_id, name, salary
FROM employees
WHERE salary > (SELECT AVG(salary) FROM employees);
```

This uses a subquery to calculate the average salary across all employees, then filters the outer query to return only those earning above that average.","```sql
SELECT * FROM employees WHERE salary > AVG(salary);
```",9,1,"Good response: correct use of subquery for AVG, selects specific useful columns, includes explanation. Bad response: `WHERE salary > AVG(salary)` is invalid SQL — aggregate functions cannot be used directly in a WHERE clause. This query would throw a syntax/runtime error in any SQL engine."
CO-008,Coding,"Write a Python function to flatten a nested list, e.g. [[1,2],[3,[4,5]]] → [1,2,3,4,5].","def flatten(lst):
    """"""Recursively flatten a nested list of any depth.""""""
    result = []
    for item in lst:
        if isinstance(item, list):
            result.extend(flatten(item))
        else:
            result.append(item)
    return result

# Test:
print(flatten([[1, 2], [3, [4, 5]]]))  # Output: [1, 2, 3, 4, 5]","def flatten(lst):
    flat = []
    for sublist in lst:
        for item in sublist:
            flat.append(item)
    return flat",9,3,"Good response: recursive approach handles arbitrary nesting depth, uses isinstance check, includes docstring and test matching the prompt's example. Bad response: only handles one level of nesting — the inner loop `for item in sublist` assumes each element of lst is itself iterable, so [[1,2],[3,[4,5]]] would give [1,2,3,[4,5]] (fails to flatten the inner [4,5])."
CO-009,Coding,What does the `async/await` syntax do in JavaScript?,"`async/await` is syntactic sugar built on top of Promises that makes asynchronous code look and behave more like synchronous code.

- `async` before a function declaration makes it return a Promise automatically.
- `await` can only be used inside an `async` function; it pauses execution of that function until the awaited Promise resolves, then returns the resolved value.

Example:
```javascript
async function fetchData() {
  const response = await fetch('https://api.example.com/data');
  const data = await response.json();
  return data;
}
```
Without async/await, the same code would use `.then()` chains, which are harder to read.",async/await is a way to handle asynchronous code in JavaScript. It makes your code wait for something to finish before moving on.,9,3,"Good response: mentions Promises (the foundation), explains both keywords separately, concrete code example, contrasts with .then() chains. Bad response: vague description, no mention of Promises, no code example, no explanation of what 'async' does to a function's return value — not useful to a developer."
CO-010,Coding,Write a Python function that counts the frequency of each word in a string.,"from collections import Counter

def word_frequency(text):
    """"""Return a dictionary of word frequencies from a string.""""""
    words = text.lower().split()
    return dict(Counter(words))

# Test:
print(word_frequency(""the cat sat on the mat the cat""))
# Output: {""the"": 3, ""cat"": 2, ""sat"": 1, ""on"": 1, ""mat"": 1}","def word_frequency(text):
    words = text.split()
    freq = {}
    for word in words:
        freq[word] = freq.get(word, 0) + 1
    return freq",8,6,"Good response: uses Counter for cleanliness, lowercases text to avoid case-sensitive duplicates (important edge case), includes test with expected output. Bad response: works correctly for basic input but doesn't lowercase ('The' and 'the' would be counted separately), no test. Functional but misses an important edge case — score is moderate, not 1."
CO-011,Coding,What is a REST API and how does it work?,"A REST API (Representational State Transfer API) is a web interface that allows software systems to communicate over HTTP using standard methods:

- **GET** – Retrieve data (e.g., `GET /users/123` fetches user 123)
- **POST** – Create new data (e.g., `POST /users` creates a new user)
- **PUT/PATCH** – Update existing data
- **DELETE** – Remove data

REST APIs are stateless — each request contains all the information needed; the server stores no session state. Responses are usually in JSON format. Example: when you open a weather app, it sends a GET request to a weather API and displays the JSON response.",A REST API is an API that uses the REST architecture. It allows different systems to communicate with each other over the internet using HTTP requests and JSON.,9,3,"Good response: expands the acronym, lists all HTTP methods with examples, explains statelessness (a core REST principle), mentions JSON, gives a real-world analogy. Bad response: circular definition ('API that uses REST architecture'), mentions HTTP and JSON but no explanation of methods, statelessness, or any practical detail."
CO-012,Coding,"Fix the bug in this code:
```python
my_list = [1, 2, 3, 4, 5]
for i in range(len(my_list)):
    if my_list[i] % 2 == 0:
        my_list.pop(i)
print(my_list)
```","The bug: modifying a list while iterating over it by index causes skipped elements. When `my_list.pop(i)` removes an element, all subsequent elements shift left, so the next index misses an element — and can also cause an `IndexError`.

Fixed version:
```python
my_list = [1, 2, 3, 4, 5]
my_list = [x for x in my_list if x % 2 != 0]
print(my_list)  # Output: [1, 3, 5]
```

Alternative using filter:
```python
my_list = list(filter(lambda x: x % 2 != 0, my_list))
```",The code looks correct to me. It removes even numbers from the list.,10,1,"Good response: correctly identifies the classic 'mutating a list during iteration' bug, explains why it fails, gives two correct alternatives with output. Bad response: completely fails to identify the bug — says the code 'looks correct'. This is a dangerous response that would mislead a developer."
CO-013,Coding,Write a Python decorator that logs the execution time of a function.,"import time
import functools

def timer(func):
    """"""Decorator that logs execution time of a function.""""""
    @functools.wraps(func)
    def wrapper(*args, **kwargs):
        start = time.perf_counter()
        result = func(*args, **kwargs)
        end = time.perf_counter()
        print(f""{func.__name__!r} executed in {end - start:.4f} seconds"")
        return result
    return wrapper

@timer
def slow_function():
    time.sleep(1)

slow_function()  # Prints: 'slow_function' executed in 1.0012 seconds","def timer(func):
    def wrapper():
        import time
        start = time.time()
        func()
        print(""Time:"", time.time() - start)
    return wrapper",9,4,"Good response: uses functools.wraps (preserves metadata), uses perf_counter (more precise than time()), handles *args/**kwargs, returns result, formats output nicely, includes usage example. Bad response: doesn't use functools.wraps, doesn't pass *args/**kwargs (can't decorate functions with arguments), doesn't return the function's result, uses less precise time.time()."
CO-014,Coding,What is the time complexity of binary search and why?,"Binary search has a time complexity of **O(log n)**.

Here's why: at each step, binary search eliminates half of the remaining search space by comparing the target to the middle element. Starting with n elements:
- After 1 comparison: n/2 remain
- After 2 comparisons: n/4 remain
- After k comparisons: n/2ᵏ remain

The search ends when 1 element remains: n/2ᵏ = 1, so k = log₂(n). Thus, at most log₂(n) comparisons are needed. For 1,000,000 elements, that's only about 20 comparisons.",Binary search is O(log n) because it keeps dividing the list in half.,9,4,"Good response: states complexity, derives it mathematically, shows the halving pattern step by step, gives an intuitive real-number example (1M elements → 20 comparisons). Bad response: states the correct answer but gives only a one-clause explanation — 'divides in half' without the mathematical derivation showing why that yields log n."
